X,Y,SHAPE_area,Proj_nam,MAL,DevName,DevAddy,Park_type,User_Group,20171127_Respondent (First+ Last),20171127_Gensler Revised Parking Spots,20171127_Parking
-71.06077273,42.35851666,58835.45339,ONE BEACON ST GARAGE,1 Beacon St,"The Prudential Insurance Company, c/o Kathy Georgian, Goodwin, Proctor and","Exchange Place, Boston, MA 02109",,"General public, employees, tenents",Carmen Schweizer,240,Below Grade
-71.05987809,42.35179927,2547.108224,EDINBORO @ PURCHASE ST LOT,21-23 Edinboro St,,,,,Carmen Schweizer,10,Surface Parking
-71.06385444,42.35366626,8462.370684,,168-170A Tremont St,,,Valet,,Carmen Schweizer,97,Below Grade
-71.06336877,42.35445108,25954.1686,TREMONT-ON-THE-COMMON GARAGE,151-162 Tremont St,,,,,Carmen Schweizer,259,Below Grade
-71.06687919,42.33719741,256021.5104,THE FLOWER MART LOT,540 Albany St,,,,,Carmen Schweizer,400,Surface Parking
-71.0701655,42.33547057,36315.13771,PEABODY CONSTRUCTION LOT,700 Albany St,,,,,Carmen Schweizer,55,Surface Parking
-71.06562775,42.36083819,14004.71634,BOSTON FIRE DEPT LOT,200 Cambridge St,,,,,Carmen Schweizer,0,Surface Parking
-71.05996204,42.35229504,8662.06443,LAPPAS LOT,85-91 Essex St,,,,,Carmen Schweizer,50,Surface Parking
-71.06411164,42.36431967,70845.25898,LANGONE FUNERAL HOME,150 Staniford St,Planning Office for Urban Affairs of the Archdiocese of the Catholic Church,"185 Devonshire Street, Boston, Massachusetts 02110",,,Carmen Schweizer,92,Surface Parking
-71.05251018,42.35320621,97513.03028,Russia Wharf,278-290 Congress St,,,,,Carmen Schweizer,0,Below Grade
-71.0875016,42.34984613,10189.76464,333 COMMONWEALTH CONDOMINIUMS,333 Commonwealth Ave,"Lafayette Parking Garage, Inc, 333 Commonwealth Condominiums, Inc, Edward L","33 Commonwealth Avenue, Boston MA 02115",,Residents,Carmen Schweizer,20,Below Grade
-71.06287001,42.35360474,38203.61152,WASHINGTON @ AVERY ST LOT,571-581 Washington St,,,,,Carmen Schweizer,41,Below Grade
-71.05689405,42.36776452,14426.66349,POLCARI'S R ESTAURANT LOT,588 Commercial St,"Salvatore Zucco, Copp's Hill Service Station","588 Commercial Street, Boston MA",,,Carmen Schweizer,49,Surface Parking
-71.06616939,42.36424936,257718.6746,HAWTHORN PLACE GARAGE,2 Hawthorn Pl,,,,,Carmen Schweizer,619,Below Grade
-71.05685375,42.36414111,14266.86901,D'AMORE PARKING,34 Cooper St,D'Amore Restaurant,"74-76 Salem Street, Boston, MA 02113",,"Residents, restaurant patrons",Carmen Schweizer,67,Surface Parking
-71.05978128,42.36717898,43285.42653,LOVEJOY PLACE LOT,160 N Washington St,"New Chardon Realty Corp., Causeway Realty Trust, c/o Csapler & Bok","One Wintrhop Square, Boston, MA","self, valet",,Carmen Schweizer,47,Below Grade
-71.06738969,42.36561606,221301.6945,Whittier Place,6 Whittier Pl,,,,,Carmen Schweizer,370,Below Grade
-71.06001266,42.3572403,14684.1833,45 Province,45 Province St,,,Valet,,Carmen Schweizer,294,Below Grade
-71.05616293,42.36463331,3713.935339,Jerusalem,0 Jerusalem Pl,Christopher Ciulla,"11 Ware Road, Winchester, MA 01890",,Resident,Carmen Schweizer,10,Surface Parking
-71.068704,42.36295952,447046.5641,Yawkey Center for Outpatient Care,255 CHARLES ST,"Yawkey Center Garage, c/o Partners Healthcare","55 Fruit Street -RSL160, Boston, MA 02114","self, valet",,,,
-71.06837313,42.36474205,228875.4277,Emerson Place,1-25 Emerson Pl,ERP Operating Limited Partnership,"1953 Gallows Road, Suite 340, Vienna, VA 22182",self,,Carmen Schweizer,660,Below Grade
-71.08064918,42.3494787,17624.19488,1983 BOYLSTON STREET TRUST,739 Boylston St,"Mr. Barry Hoffman, Trustee of 1983 Boylston Street Trust","1983 Boylston Street, Boston MA",,"Owners, employees, guests",Carmen Schweizer,12,Surface Parking
-71.06759445,42.34012873,4620.015152,,0 Malden St,,,,,Carmen Schweizer,105,Surface Parking
-71.0705755,42.34687136,2072.683024,BERKELEY ST LOT,75 BERKELEY ST,,,,,Carmen Schweizer,10,Surface Parking
-71.07208305,42.35005947,31908.43464,LIBERTY MUTUAL CO LOT,175 Berkeley,,,,,Carmen Schweizer,26,Below Grade
-71.05321477,42.36722432,5061.727351,440 COMMERCIAL ST GARAGE,440 COMMERCIAL ST,,,,,,9,Below Grade
